project,1-Tail,,,,,2-tail,,,,,sekt-1,,,,,sekt-2,,,,,contractor++,,,,,SMCON,,,,
,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy
FrequentFlyerRewardsCalculator, 3,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 2,1.0,1.0,1.0,1.0, 2,1.0,1.0,1.0,1.0
PingPongGame, 4,0.7752808988764045,0.7674418604651163,0.7713414634146342,1.0, 4,0.7752808988764045,0.735632183908046,0.7549363193435337,1.0, 4,0.7752808988764045,0.7619047619047619,0.7685346327880265,1.0, 4,0.7752808988764045,0.72,0.7466185752930568,1.0, 5,0.7752808988764045,0.38372093023255816,0.5133581332431518,1.0, 4,0.7752808988764045,0.7727272727272727,0.7740019795447046,1.0
DigitalLocker, 18,0.39436619718309857,1.0,0.5656565656565656,0.9454545454545454, 29,0.2084507042253521,1.0,0.344988344988345,0.9363636363636364, 18,0.39436619718309857,1.0,0.5656565656565656,0.9454545454545454, 29,0.2084507042253521,1.0,0.344988344988345,0.9363636363636364, 9,0.895774647887324,1.0,0.9450222882615156,1.0, 10,0.7661971830985915,1.0,0.8676236044657097,1.0
RoomThermostat, 5,0.782608695652174,1.0,0.878048780487805,1.0, 9,0.782608695652174,1.0,0.878048780487805,1.0, 5,0.782608695652174,1.0,0.878048780487805,1.0, 9,0.782608695652174,1.0,0.878048780487805,1.0, 5,1.0,1.0,1.0,1.0, 6,1.0,1.0,1.0,1.0
Bazaar, 9,1.0,0.8941176470588236,0.9440993788819877,1.0, 94,0.9411764705882353,0.9933,0.966536013695756,0.8354570637119113, 9,1.0,0.8895027624309392,0.9415204678362573,1.0, 83,0.9607843137254902,0.9939,0.9770616387581766,0.8653739612188366, 3,1.0,0.8028169014084507,0.890625,1.0, 3,1.0,1.0,1.0,1.0
SimpleMarketplace, 5,1.0,1.0,1.0,1.0, 6,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 6,1.0,1.0,1.0,1.0, 4,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0
RefrigeratedTransportation, 6,0.71875,0.6837606837606838,0.7008188916396877,1.0, 8,0.7083333333333334,0.6522556390977443,0.6791388441169698,1.0, 6,0.71875,0.6782608695652174,0.6979186928613109,1.0, 8,0.7083333333333334,0.6674937965260546,0.6873074321785527,1.0, 5,0.71875,0.3033175355450237,0.4266048398782786,1.0, 5,0.71875,0.6624203821656051,0.6894365182302925,1.0
HelloBlockchain, 4,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 4,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0
AssetTransfer, 24,0.551,0.4987967270977058,0.5236004067009374,0.9315068493150684, 40,0.516,0.4392398733122187,0.4745358332734198,0.7671232876712328, 24,0.551,0.4873417721518987,0.5172195199258799,0.9315068493150684, 40,0.516,0.43353923587279797,0.47118905098163183,0.7671232876712328, 13,0.9234,0.1138,0.20262807558812188,1.0, 13,0.8356,0.21020282728948986,0.3359055414648962,0.9657534246575342
BasicProvenance, 4,1.0,0.56,0.717948717948718,1.0, 6,1.0,0.49825783972125437,0.6651162790697674,1.0, 4,1.0,0.5070422535211268,0.6728971962616822,1.0, 6,1.0,0.5406162464985994,0.7018181818181818,1.0, 3,1.0,0.4583333333333333,0.6285714285714286,1.0, 3,1.0,0.6666666666666666,0.8,1.0
DefectiveComponentCounter, 3,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0
